First Name,Last Name,City,State,Phone,Email,Captain,Status,AssignmentID,Job Description
Mary,Miller,Boston,MA,510510510,example@example.com,NO,CANCEL,344,
Pulkit,Jain,Boston,MA,5106845211,example@example.com,NO,OK,344,Captain
Tati,Doyle,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,Checks in volunteers
Vivian,Chen,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,Hands out water
Michael,Morisi,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Spencer,Perry,Boston,MA,4436022494,tatianadoyle@gmail.com,YES,OK,344,Captain
Tati,Doyle,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Emily,Sim,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Phillip,Wang,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Dominos,Pizza,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Tufts,University,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
ShanShan,Duan,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Bu,Zhidao,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Rocky,Balboa,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Tina,Fey,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Emma,Stone,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Ryan,Gosling,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Brendan,Fahey,Boston,MA,510510510,example@example.com,NO,CANCEL,344,
Kieran,Taylor,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Coral,Yang,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Erica,Luzzi,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Ethan,Geismar,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Andrew,Sterner,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Linda,Cameron,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Andy,Vaschenko,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Kate,Hirsch,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Alex,Fontini,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
