First Name,Last Name,City,State,Phone,Email,Captain,Status,AssignmentID,Job Description
Mary,Miller,Boston,MA,510510510,example@example.com,NO,CANCEL,344,
Tati,Doyle,Boston,MA,5106845211,captain@example.com,YES,OK,378,Captain
Pulkit,Jain,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,Checks in volunteers
Vivian,Chen,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,Hands out water
Michael,Morisi,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Spencer,Perry,Boston,MA,4436022494,captain2@example.com,NO,OK,344,Captain
Tati,Doyle,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Emily,Sim,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Phillip,Wang,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Dominos,Pizza,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Tufts,University,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
ShanShan,Duan,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Bu,Zhidao,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
Rocky,Balboa,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Tina,Fey,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Emma,Stone,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Ryan,Gosling,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Brendan,Fahey,Boston,MA,510510510,example@example.com,NO,CANCEL,378,
Kieran,Taylor,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Coral,Yang,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Erica,Luzzi,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Ethan,Geismar,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Andrew,Sterner,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Linda,Cameron,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Andy,Vaschenko,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Kate,Hirsch,Boston,MA,510510510,example@example.com,NO,NO SHOW,378,
Alex,Fontini,Boston,MA,510510510,example@example.com,NO,NO SHOW,344,
